ID_Partido,Jornada,Fecha_Hora,Equipo_Local,Goles_Local,Equipo_Visitante,Goles_Visitante,Posesion_Local,Posesion_Visitante,xG_Local,xG_Visitante,Disparos_Totales_Local,Disparos_Totales_Visitante,Disparos_a_Puerta_Local,Disparos_a_Puerta_Visitante,Corners_Local,Corners_Visitante
13443499,15,2025-06-23 00:00:00,Everton de Viña del Mar,0,O'Higgins,1,38.0,62.0,1.12,1.7,11.0,17.0,2.0,4.0,3.0,7.0
13443509,16,2025-07-18 23:00:00,Everton de Viña del Mar,0,Deportes Limache,0,64.0,36.0,0.59,0.38,18.0,7.0,4.0,0.0,6.0,5.0
13443513,16,2025-07-19 16:30:00,Unión Española,3,Unión La Calera,1,46.0,54.0,1.62,0.8,12.0,3.0,4.0,1.0,10.0,2.0
13443503,16,2025-07-19 19:00:00,Colo Colo,2,Deportes La Serena,1,61.0,39.0,1.85,1.27,18.0,11.0,7.0,6.0,7.0,4.0
13443507,16,2025-07-19 21:30:00,Coquimbo Unido,4,Deportes Iquique,1,47.0,53.0,2.97,0.55,16.0,9.0,8.0,0.0,6.0,2.0
13443511,16,2025-07-20 16:30:00,Audax Italiano,1,Universidad Católica,1,50.0,50.0,1.2,1.14,9.0,11.0,2.0,3.0,2.0,5.0
13443516,16,2025-07-20 19:00:00,Ñublense,2,Universidad de Chile,2,41.0,59.0,1.94,1.71,9.0,10.0,4.0,5.0,1.0,3.0
13443518,16,2025-07-21 23:00:00,Huachipato,2,O'Higgins,1,52.0,48.0,3.48,0.75,14.0,18.0,8.0,4.0,5.0,4.0
13443505,16,2025-09-07 18:00:00,Cobresal,2,Palestino,1,40.0,60.0,1.85,0.39,23.0,9.0,8.0,2.0,8.0,7.0
13443530,17,2025-07-25 23:00:00,Deportes Limache,0,Ñublense,1,45.0,55.0,1.37,2.23,15.0,18.0,2.0,5.0,4.0,6.0
13443524,17,2025-07-26 19:00:00,Deportes La Serena,0,Cobresal,2,70.0,30.0,1.6,1.78,18.0,13.0,4.0,5.0,11.0,4.0
13443528,17,2025-07-26 21:30:00,Everton de Viña del Mar,4,Huachipato,1,49.0,51.0,2.53,1.02,17.0,5.0,6.0,2.0,4.0,8.0
13443534,17,2025-07-27 16:30:00,O'Higgins,1,Colo Colo,1,57.0,43.0,1.0,0.19,17.0,1.0,4.0,1.0,4.0,0.0
13443532,17,2025-07-27 19:00:00,Palestino,1,Unión Española,0,60.0,40.0,0.84,0.85,15.0,13.0,6.0,6.0,7.0,2.0
13443520,17,2025-07-27 19:00:00,Universidad Católica,0,Coquimbo Unido,3,60.0,40.0,0.16,2.28,5.0,16.0,0.0,8.0,1.0,6.0
13443522,17,2025-07-27 22:00:00,Deportes Iquique,1,Audax Italiano,0,37.0,63.0,0.89,1.15,13.0,13.0,3.0,5.0,2.0,6.0
13443526,17,2025-07-28 22:00:00,Unión La Calera,0,Universidad de Chile,4,30.0,70.0,0.18,2.16,3.0,17.0,2.0,8.0,4.0,3.0
13443544,18,2025-08-01 23:00:00,Audax Italiano,1,Palestino,1,38.0,62.0,0.87,0.94,13.0,19.0,3.0,5.0,5.0,7.0
13443546,18,2025-08-02 16:30:00,Unión Española,1,Deportes La Serena,0,57.0,43.0,1.3,1.22,24.0,10.0,6.0,6.0,11.0,2.0
13443542,18,2025-08-02 19:00:00,Coquimbo Unido,2,Deportes Limache,1,58.0,42.0,2.97,0.32,13.0,4.0,3.0,1.0,7.0,1.0
13443540,18,2025-08-02 21:30:00,Deportes Iquique,2,Universidad Católica,2,49.0,51.0,2.01,2.24,14.0,8.0,5.0,4.0,3.0,6.0
13443548,18,2025-08-03 16:30:00,O'Higgins,1,Unión La Calera,0,49.0,51.0,1.53,0.4,18.0,8.0,3.0,1.0,13.0,7.0
13443538,18,2025-08-03 19:00:00,Colo Colo,2,Huachipato,2,67.0,33.0,3.07,0.97,26.0,8.0,9.0,5.0,8.0,4.0
13443550,18,2025-08-03 21:30:00,Ñublense,1,Everton de Viña del Mar,0,56.0,44.0,0.44,1.04,7.0,13.0,1.0,4.0,2.0,3.0
13443536,18,2025-08-04 22:00:00,Universidad de Chile,0,Cobresal,1,66.0,34.0,2.02,0.5,25.0,7.0,4.0,4.0,11.0,2.0
13443564,19,2025-08-08 19:00:00,Palestino,2,Deportes Iquique,0,70.0,30.0,1.35,0.53,18.0,9.0,7.0,4.0,7.0,3.0
13443566,19,2025-08-09 16:30:00,Huachipato,1,Unión La Calera,0,66.0,34.0,,,16.0,3.0,3.0,0.0,10.0,3.0
13443552,19,2025-08-09 19:00:00,Universidad de Chile,4,Unión Española,1,53.0,47.0,3.56,1.85,24.0,10.0,8.0,6.0,5.0,2.0
13443558,19,2025-08-09 21:30:00,Deportes La Serena,3,O'Higgins,3,35.0,65.0,1.24,2.38,15.0,24.0,6.0,5.0,3.0,9.0
13443560,19,2025-08-10 16:30:00,Everton de Viña del Mar,1,Colo Colo,1,41.0,59.0,1.81,0.69,18.0,6.0,3.0,2.0,3.0,7.0
13443556,19,2025-08-10 19:00:00,Cobresal,1,Coquimbo Unido,2,69.0,31.0,1.85,2.36,16.0,12.0,6.0,7.0,5.0,5.0
13443562,19,2025-08-11 23:00:00,Deportes Limache,4,Audax Italiano,0,47.0,53.0,1.23,1.25,16.0,15.0,7.0,3.0,3.0,8.0
14426857,19,2025-10-09 23:30:00,Universidad Católica,1,Ñublense,0,59.0,41.0,,,13.0,15.0,4.0,2.0,2.0,2.0
13443576,20,2025-08-15 19:00:00,Unión Española,2,Deportes Iquique,2,71.0,29.0,3.18,1.46,19.0,10.0,6.0,5.0,14.0,3.0
13443572,20,2025-08-16 00:00:00,Unión La Calera,1,Deportes La Serena,1,48.0,52.0,0.8,0.8,13.0,17.0,5.0,5.0,6.0,7.0
13443580,20,2025-08-16 16:00:00,Ñublense,1,Palestino,0,36.0,64.0,1.48,1.52,9.0,12.0,6.0,3.0,2.0,5.0
13443568,20,2025-08-16 19:00:00,Colo Colo,1,Universidad Católica,4,72.0,28.0,1.43,2.32,22.0,10.0,5.0,6.0,15.0,3.0
13443578,20,2025-08-16 22:30:00,O'Higgins,1,Cobresal,0,57.0,43.0,1.37,0.65,18.0,11.0,7.0,3.0,9.0,4.0
13443467,20,2025-08-17 16:30:00,Universidad de Chile,1,Audax Italiano,3,69.0,31.0,2.15,1.03,19.0,14.0,5.0,7.0,8.0,5.0
13443582,20,2025-08-17 19:00:00,Huachipato,4,Deportes Limache,0,53.0,47.0,2.03,0.82,14.0,14.0,5.0,5.0,5.0,7.0
13443570,20,2025-08-17 21:30:00,Coquimbo Unido,2,Everton de Viña del Mar,1,43.0,57.0,0.81,1.35,10.0,8.0,3.0,2.0,10.0,1.0
13443598,21,2025-08-22 19:00:00,Palestino,0,Colo Colo,0,54.0,46.0,1.72,0.95,19.0,9.0,9.0,1.0,7.0,3.0
13443594,21,2025-08-23 00:30:00,Deportes Limache,2,O'Higgins,2,29.0,71.0,0.99,1.77,11.0,14.0,5.0,8.0,5.0,3.0
13443590,21,2025-08-23 19:00:00,Cobresal,1,Unión La Calera,0,62.0,38.0,1.87,0.58,19.0,12.0,7.0,3.0,7.0,4.0
13443596,21,2025-08-23 21:30:00,Audax Italiano,0,Coquimbo Unido,1,58.0,42.0,0.26,1.02,5.0,13.0,1.0,3.0,0.0,10.0
13443586,21,2025-08-24 00:00:00,Universidad Católica,2,Unión Española,0,53.0,47.0,0.93,1.26,18.0,13.0,7.0,3.0,2.0,6.0
13443592,21,2025-08-24 16:30:00,Deportes La Serena,0,Huachipato,2,55.0,45.0,1.68,1.59,26.0,15.0,4.0,5.0,6.0,6.0
13443588,21,2025-08-24 21:30:00,Deportes Iquique,0,Ñublense,2,44.0,56.0,1.22,1.13,10.0,6.0,4.0,3.0,3.0,4.0
14900160,21,2025-11-05 20:30:00,Universidad de Chile,2,Everton de Viña del Mar,0,69.0,31.0,1.33,0.56,12.0,7.0,3.0,4.0,7.0,0.0
13443608,22,2025-08-28 23:00:00,Everton de Viña del Mar,3,Deportes La Serena,1,43.0,57.0,2.73,1.16,19.0,15.0,8.0,3.0,9.0,5.0
13443606,22,2025-08-29 23:00:00,Unión La Calera,1,Palestino,2,49.0,51.0,1.22,1.76,14.0,14.0,1.0,5.0,4.0,3.0
13443611,22,2025-08-30 16:30:00,Huachipato,0,Coquimbo Unido,1,57.0,43.0,0.9,1.22,9.0,12.0,3.0,3.0,5.0,4.0
13443609,22,2025-08-30 19:00:00,O'Higgins,3,Audax Italiano,2,49.0,51.0,3.0,1.12,21.0,7.0,10.0,3.0,5.0,6.0
13443602,22,2025-08-30 21:30:00,Universidad Católica,2,Cobresal,1,67.0,33.0,2.37,1.81,15.0,14.0,5.0,5.0,5.0,2.0
13443604,22,2025-08-31 00:00:00,Deportes Iquique,2,Deportes Limache,1,61.0,39.0,1.99,0.49,25.0,7.0,8.0,2.0,9.0,2.0
13443600,22,2025-08-31 19:00:00,Colo Colo,1,Universidad de Chile,0,66.0,34.0,2.37,1.84,21.0,12.0,5.0,2.0,6.0,7.0
13443610,22,2025-08-31 22:30:00,Ñublense,1,Unión Española,2,62.0,38.0,0.59,1.79,12.0,20.0,2.0,5.0,9.0,7.0
13443616,23,2025-09-12 21:00:00,Coquimbo Unido,2,Ñublense,1,45.0,55.0,0.62,0.39,5.0,7.0,1.0,2.0,3.0,1.0
13443617,23,2025-09-12 23:30:00,Unión La Calera,1,Everton de Viña del Mar,0,47.0,53.0,0.93,0.34,11.0,7.0,3.0,0.0,8.0,2.0
13443619,23,2025-09-13 15:30:00,Unión Española,3,Audax Italiano,4,58.0,42.0,2.8,1.82,14.0,10.0,5.0,5.0,4.0,3.0
13443620,23,2025-09-13 18:00:00,Palestino,1,O'Higgins,2,65.0,35.0,1.32,1.32,8.0,8.0,3.0,5.0,7.0,0.0
13443614,23,2025-09-13 20:30:00,Cobresal,3,Huachipato,2,48.0,52.0,2.22,1.28,22.0,18.0,12.0,11.0,7.0,6.0
13443618,23,2025-09-13 23:00:00,Deportes Limache,0,Universidad Católica,1,49.0,51.0,1.25,1.49,15.0,14.0,4.0,3.0,7.0,1.0
13443612,23,2025-09-26 22:00:00,Colo Colo,4,Deportes Iquique,0,71.0,29.0,2.88,1.45,22.0,7.0,11.0,2.0,4.0,2.0
13443615,23,2025-09-28 18:00:00,Deportes La Serena,1,Universidad de Chile,1,33.0,67.0,0.91,0.75,13.0,12.0,5.0,5.0,8.0,6.0
13443627,24,2025-10-12 15:00:00,Unión Española,4,Huachipato,2,47.0,53.0,0.58,2.14,10.0,11.0,5.0,6.0,3.0,6.0
13443621,24,2025-10-13 19:00:00,Universidad de Chile,2,Palestino,1,37.0,63.0,2.37,0.87,11.0,14.0,7.0,3.0,3.0,3.0
13443626,24,2025-10-17 21:00:00,Audax Italiano,4,Unión La Calera,3,34.0,66.0,2.04,2.51,17.0,11.0,7.0,4.0,6.0,1.0
13443622,24,2025-10-17 23:30:00,Deportes Iquique,2,O'Higgins,3,42.0,58.0,1.66,1.24,10.0,20.0,4.0,6.0,4.0,5.0
13443551,24,2025-10-18 18:00:00,Deportes La Serena,1,Ñublense,1,27.0,73.0,1.86,1.51,7.0,16.0,1.0,5.0,3.0,8.0
13443625,24,2025-10-18 20:30:00,Deportes Limache,2,Cobresal,0,55.0,45.0,3.52,0.87,21.0,9.0,6.0,3.0,8.0,1.0
13443623,24,2025-10-19 15:30:00,Coquimbo Unido,1,Colo Colo,0,28.0,72.0,0.44,0.84,7.0,12.0,1.0,4.0,6.0,5.0
13443624,24,2025-10-19 18:00:00,Everton de Viña del Mar,0,Universidad Católica,3,32.0,68.0,1.25,2.24,13.0,18.0,2.0,7.0,7.0,3.0
13443634,25,2025-10-24 20:00:00,Palestino,2,Everton de Viña del Mar,1,64.0,36.0,1.6,1.21,14.0,8.0,4.0,3.0,5.0,3.0
13443632,25,2025-10-25 18:00:00,Deportes La Serena,2,Audax Italiano,1,43.0,57.0,1.91,1.72,13.0,10.0,4.0,2.0,2.0,7.0
13443636,25,2025-10-25 20:30:00,Huachipato,1,Deportes Iquique,1,61.0,39.0,0.92,1.21,15.0,15.0,3.0,5.0,6.0,5.0
13443630,25,2025-10-26 15:30:00,Universidad Católica,1,Universidad de Chile,0,38.0,62.0,1.13,1.52,13.0,16.0,3.0,4.0,8.0,2.0
13443631,25,2025-10-26 19:00:00,Cobresal,1,Unión Española,0,50.0,50.0,1.29,2.02,18.0,21.0,9.0,8.0,4.0,8.0
13443635,25,2025-10-26 21:30:00,O'Higgins,0,Coquimbo Unido,1,63.0,37.0,1.33,0.81,10.0,7.0,3.0,2.0,4.0,6.0
13443633,25,2025-10-26 21:30:00,Unión La Calera,3,Ñublense,0,40.0,60.0,1.9,1.35,14.0,11.0,5.0,2.0,3.0,4.0
13443629,25,2025-10-27 21:00:00,Colo Colo,2,Deportes Limache,2,60.0,40.0,1.32,0.68,16.0,10.0,6.0,3.0,9.0,1.0
13443436,26,2025-10-31 18:00:00,Audax Italiano,1,Cobresal,2,59.0,41.0,2.54,2.25,17.0,15.0,3.0,7.0,4.0,4.0
13443430,26,2025-10-31 20:30:00,Deportes Iquique,1,Deportes La Serena,2,63.0,37.0,1.41,0.58,19.0,7.0,5.0,4.0,2.0,1.0
13443437,26,2025-11-01 21:00:00,Ñublense,0,Colo Colo,1,45.0,55.0,0.56,2.43,7.0,18.0,2.0,7.0,2.0,3.0
13854735,26,2025-11-02 15:30:00,Huachipato,1,Universidad de Chile,0,37.0,63.0,1.13,1.19,11.0,13.0,4.0,3.0,1.0,9.0
13443431,26,2025-11-02 20:30:00,Coquimbo Unido,2,Unión La Calera,0,48.0,52.0,1.51,0.01,12.0,2.0,3.0,0.0,5.0,2.0
13443429,26,2025-11-02 20:30:00,Universidad Católica,0,O'Higgins,2,55.0,45.0,1.04,0.44,18.0,10.0,4.0,3.0,8.0,2.0
13443434,26,2025-11-02 23:30:00,Everton de Viña del Mar,0,Unión Española,0,27.0,73.0,0.12,0.76,7.0,10.0,1.0,1.0,3.0,4.0
13885795,26,2025-11-03 22:00:00,Palestino,2,Deportes Limache,1,68.0,32.0,0.79,0.28,9.0,8.0,4.0,2.0,7.0,0.0
13443443,27,2025-11-07 23:00:00,Unión La Calera,1,Deportes Iquique,2,62.0,38.0,0.88,1.8,9.0,17.0,4.0,7.0,5.0,2.0
13443441,27,2025-11-08 15:30:00,Deportes La Serena,0,Universidad Católica,1,48.0,52.0,0.87,0.74,11.0,11.0,1.0,2.0,6.0,7.0
13443445,27,2025-11-08 18:00:00,Unión Española,1,Colo Colo,2,44.0,56.0,1.89,0.81,19.0,10.0,7.0,4.0,4.0,4.0
13443446,27,2025-11-08 20:30:00,Palestino,1,Coquimbo Unido,2,61.0,39.0,0.59,1.9,8.0,10.0,2.0,3.0,4.0,8.0
13443447,27,2025-11-08 23:30:00,O'Higgins,4,Ñublense,2,62.0,38.0,2.13,1.08,14.0,8.0,5.0,4.0,3.0,0.0
13443449,27,2025-11-09 18:00:00,Huachipato,2,Audax Italiano,1,44.0,56.0,2.24,1.0,22.0,13.0,9.0,6.0,9.0,10.0
13443439,27,2025-11-09 20:30:00,Universidad de Chile,4,Deportes Limache,3,63.0,37.0,3.09,0.98,21.0,11.0,9.0,6.0,9.0,3.0
13443440,27,2025-11-09 23:00:00,Cobresal,1,Everton de Viña del Mar,2,80.0,20.0,1.91,1.37,29.0,14.0,11.0,7.0,9.0,5.0
13443458,28,2025-11-21 23:00:00,Audax Italiano,2,Everton de Viña del Mar,0,58.0,42.0,0.94,2.38,18.0,20.0,5.0,9.0,7.0,5.0
13443453,28,2025-11-21 23:00:00,Deportes Iquique,2,Cobresal,1,50.0,50.0,1.37,0.9,19.0,12.0,7.0,2.0,6.0,6.0
13443457,28,2025-11-21 23:00:00,Deportes Limache,1,Unión Española,0,40.0,60.0,1.17,1.03,9.0,16.0,2.0,2.0,6.0,5.0
13443456,28,2025-11-22 21:00:00,Coquimbo Unido,2,Deportes La Serena,1,57.0,43.0,1.84,1.15,15.0,11.0,5.0,4.0,7.0,4.0
13443452,28,2025-11-22 23:30:00,Universidad Católica,2,Palestino,1,38.0,62.0,1.48,0.95,11.0,18.0,5.0,4.0,3.0,11.0
13443459,28,2025-11-23 21:00:00,O'Higgins,0,Universidad de Chile,1,54.0,46.0,0.81,0.97,14.0,9.0,4.0,2.0,8.0,5.0
13443451,28,2025-11-23 23:30:00,Colo Colo,4,Unión La Calera,1,59.0,41.0,2.94,1.0,18.0,10.0,6.0,4.0,4.0,3.0
13443462,28,2025-11-24 23:00:00,Ñublense,0,Huachipato,1,60.0,40.0,1.68,0.85,25.0,11.0,2.0,4.0,4.0,1.0
13443464,29,2025-11-28 21:30:00,Cobresal,3,Colo Colo,0,28.0,72.0,2.08,1.29,13.0,24.0,6.0,4.0,4.0,8.0
13443474,29,2025-11-29 15:00:00,Huachipato,0,Universidad Católica,0,50.0,50.0,0.94,0.56,16.0,8.0,3.0,4.0,5.0,5.0
13443465,29,2025-11-29 21:00:00,Deportes La Serena,0,Palestino,3,29.0,71.0,0.91,1.07,15.0,11.0,4.0,6.0,4.0,8.0
13443469,29,2025-11-30 21:00:00,Everton de Viña del Mar,0,Deportes Iquique,1,64.0,36.0,2.47,1.08,17.0,11.0,7.0,2.0,10.0,4.0
13443471,29,2025-11-30 21:00:00,Unión Española,2,O'Higgins,4,52.0,48.0,1.28,1.36,12.0,18.0,4.0,7.0,11.0,4.0
13443468,29,2025-11-30 21:00:00,Unión La Calera,0,Deportes Limache,1,48.0,52.0,0.79,1.13,12.0,13.0,3.0,7.0,4.0,4.0
15143947,29,2025-12-01 23:00:00,Audax Italiano,1,Ñublense,0,29.0,71.0,0.84,1.48,4.0,20.0,1.0,2.0,0.0,5.0
13443463,29,2025-12-02 21:00:00,Universidad de Chile,1,Coquimbo Unido,1,62.0,38.0,2.93,0.33,18.0,5.0,10.0,2.0,8.0,4.0
13443482,30,2025-12-05 23:00:00,Palestino,2,Huachipato,2,62.0,38.0,1.29,0.49,13.0,8.0,2.0,3.0,6.0,7.0
13443480,30,2025-12-06 21:00:00,Coquimbo Unido,4,Unión Española,2,44.0,56.0,2.26,0.81,13.0,14.0,5.0,4.0,7.0,4.0
13443477,30,2025-12-06 21:00:00,Deportes Iquique,2,Universidad de Chile,3,43.0,57.0,1.96,1.91,14.0,18.0,5.0,4.0,2.0,2.0
13443481,30,2025-12-06 21:00:00,Deportes Limache,1,Deportes La Serena,0,72.0,28.0,1.36,0.62,10.0,9.0,7.0,1.0,4.0,3.0
13443483,30,2025-12-06 21:00:00,O'Higgins,1,Everton de Viña del Mar,0,75.0,25.0,1.27,0.17,11.0,4.0,4.0,3.0,3.0,1.0
13443476,30,2025-12-06 21:00:00,Universidad Católica,2,Unión La Calera,1,63.0,37.0,1.21,0.5,13.0,7.0,6.0,2.0,8.0,3.0
13443475,30,2025-12-07 21:00:00,Colo Colo,1,Audax Italiano,2,73.0,27.0,,,31.0,5.0,11.0,2.0,15.0,1.0
13443486,30,2025-12-07 21:00:00,Ñublense,5,Cobresal,0,72.0,28.0,,,25.0,8.0,12.0,4.0,7.0,1.0
